JAVA开发工程师（大数据和AI中心）,数据中心网络,7-12K,重庆,中国电信股份有限公司重庆分公司,"后端工程师,Java,MySQL,Spring",5-10年,社招,数据中心网络,2023/1/13,"专业经历及能力要求:
1、学历（本科以上学历，计算机相关专业，5年以上工作经验。）
2、有扎实的Java语言基础，熟练掌握Java语言及相关开发工具；
3、精通SpringBoot、SpringCloud、Hibernate、SpringMvc等技术； 
4、熟练使用常用的前端框架，如React.js、Angular.js、node.js框架等；
5、具有丰富的oracle或mysql使用与开发经验；
6、熟悉Nginx、Tomcat等常见应用服务器；
7、熟悉项目构建工具，如：Maven、Gradle等
8、有具备良好的逻辑分析能力，对技术有强烈的兴趣，喜欢钻研；
9、良好的沟通技巧、团队合作精神，善于沟通和表达，有很强的责任心
10、工作积极主动、敬业，能承受较大工作压力。
岗位职责：
1、根据项目的需求、项目经理要求完成相关的工作
2、根据需求参与功能模块的需求分析，编写功能模块的概要设计文档
3、功能模块的代码编写、测试、部署和集成
4、对已有的产品功能模块进行升级和维护
5、新技术研究及创新
6、遵守开发流程及编写相关文档"
大数据平台研发工程师-查询引擎方向,数据中心网络,25-50K,上海,数数信息科技（上海）有限公司,"presto,组件优化,查询引擎",5-10年,社招,数据中心网络,2023/1/13,"职位描述： 
1. 负责大数据基础平台架构建设和研发； 
2. 负责大数据存储系统和计算引擎相关研究、特性研发和性能调优，偏向于存储引擎； 
3. 负责大数据系统整体及组件的性能、效率、稳定性分析与优化。
职位要求： 
1. 熟悉HDFS/Hive metastore/Kudu/Kafka等大数据技术和组件，有3年以上大数据组件的使用和二次研发经验； 
2. 熟悉MPP架构，熟悉Presto/Impala/Clickhouse等OLAP引擎, Spark/Flink计算引擎，有源码级别的特性增加或调优经验； 
3. 熟悉kudu/对象存储/数据湖（Hudi/Iceberg等）等多种存储解决方案；
4. 具备扎实的计算机基础，熟悉分布式系统研发； 
5. 精通Java研发语言，具有良好的编程研发能力； 
6. 对新技术敏感，有一定独立分析，技术研究能力，具有良好的团队合作精神； 7. 能够深刻理解业务，善于利用技术实现相关业务价值。"
网络数据专员,数据中心网络,6-9K,哈尔滨,成都雨幕网络技术有限公司,月休四天,经验不限,社招,数据中心网络,2023/1/13,身体健康，男女不限，有意向请详谈。
网络货运数据经理,数据中心网络,5-6K,鄂尔多斯,鄂尔多斯市煤炭网有限公司,"数据平台搭建经验,渠道数据分析经验,电商,人工智能,互联网金融,平台类产品",1-3年,社招,数据中心网络,2023/1/13,"1、任职条件
①、大专及以上学历，男女不限，35周岁以下，具有网络货运统计、实体物流统计等相关统计工作经验者优先；
②、熟练使用各种办公软件，具备较强的沟通能力，有极强的团队合作精神；
③、熟悉网络货运平台的流程操作，数据分析；
2、工作内容：负责网络货运平台数据上传、统计、数据分析"
车载网络诊断工程师-重庆研发中心,数据中心网络,12-22K,重庆,延锋伟世通投资有限公司,"CAN,Lin,UDS",3-5年,社招,数据中心网络,2023/1/13,"岗位职责：
1）负责车载产品的网络，诊断，FBL的软件开发与测试
2）负责软件需求，详细设计，单元测试及集成测试的文档设计与编写
3）负责与其它职能块工程师的合作与开发
4）负责车载产品中网络、诊断、FBL相关问题的验证与解决
5）支持项目报价中网络、诊断、FBL相关的领域
任职要求：
1）3年以上的C/C++编码经验，有扎实的C语言功底者优先考虑
2）2年以上的汽车电子网络、诊断、FBL领域的开发者优先"
网络工程师,数据中心网络,5-7K,鄂尔多斯,鄂尔多斯市腾远煤炭有限责任公司,"路由器配置,网络自动化,网络规划设计,故障处理",1-3年,社招,数据中心网络,2023/1/13,"1、岗位职责
(1)负责网络及其设备的维护、管理、故障排除等日常工作，确保公司网络日常的正常运作；
(2)负责公司办公室软硬件和桌面系统的日常维护；
(3)安装和维护公司计算机、服务器系统软件和应用软件；
(4)解决排除各种软硬件故障，做好记录，定期制作系统运行报告；
(5)维护数据中心，对系统数据进行备份；
(6)简单数据库SQL语言。
2、任职要求：
（1）1年以上网络运维管理经验；
（2）工作主动性强，耐心细致，有责任心；
（3）学习能力强，善于分析、思考问题。"
网络工程师,数据中心网络,13-17K,宁波,乐歌人体工学科技股份有限公司,"网络运维经验,网络建设/系统集成经验,CCNA/CCNP,HCNA/HCNP",5-10年,社招,数据中心网络,2023/1/13,"岗位职责:
1、负责数企业内部网络运维安全管理工作和数据中心管理
2、挖掘和发现目前整体网络运行体系中存在的问题和不足，提出具体改进方案并推进实施。
3、负责内部网络设备安全管理、配置、维护和监控
4、负责内部网络资料的管理和完善。
5、完成上级交办的其他工作。
任职要求:
1、具有园区网、ISP城域网、企业网、金融网、数据中心网等领域运维实施工作经验5年以上。
2、熟悉主流设备厂商路由器、交换机、防火墙、无线设备配置及运维，持有HCIP、CCNP或同等以上能力者优先。
3、精通至少一个行业主流组网方案、冗余备份解决方案。并有实施部署、运维经验。
4、对VPN、zabbix、liunx等技术有所了解。
5、具有一定的分析、解决复杂网络问题的能力，有网络建设项目的方案设计、规划、实施和维护经验者优先。
6、良好的逻辑思维能力、团队合作意识，善于发现问题并提出解决办法；
7、全日制本科以上学历"
网络工程师,数据中心网络,4-6K,武汉,武汉明道泰和信息技术有限公司,"网络运维,运维,安全运维,运维工程师",1-3年,社招,数据中心网络,2023/1/13,"职位信息
1.负责驻场单位云数据中心网络运维服务，设备运行监控、巡检等日常工作。
2.负责驻场单位云数据中心网络的故障分析，应急处理，问题定位，提供解决方案并解决网络故障，负责应急事件的沟通协调工作（故障的处理、申告、报修、跟踪）。
3.具有一定的文案基础，负责记录网络日常巡检报告和排错等技术文档。
4.根据用户需求拟定技术方案，提供技术支持。
5.完成领导交办的其他工作。
岗位要求：
1.具备1年以上信息系统集成或运维服务工作经验(应届毕业生也可)；
2.熟悉信息系统网络运维、管理流程；
3.具备独立完成网络系统安装、部署、调试、变更和网络故障的处置工作能力；
4.熟悉TCP/IP协议，熟悉交换机、防火墙等网络安全设备的配置管理；
5.对主流安全厂家设备有一定调试维护经验优先；
6.具有大型网络系统建设或维护经验优先；
7.具有网络系统相关资质证书（CCNP或同级别以上）优先。
8.有良好的团队合作意识及服务意识，诚实敬业，有良好的沟通和语言表达能力。
待遇：
五险、年终奖、话费补贴，交通补贴........"
网络工程师,数据中心网络,10-15K,重庆,同方有云（北京）科技有限公司,"CCIE证书,HCIE",1-3年,社招,数据中心网络,2023/1/13,"岗位要求：
1. 计算机、网络相关专业，大专及以上学历
2. 熟悉OSPF、BGP、MPLS、ISIS等网络技术。熟悉路由、交换、防火墙产品，至少熟悉一家主流厂商的配置命令。
3. 对云网架构数据中心有一定认知，了解OpenStack、SDN、VXLAN等技术原理
4. 勇于承担责任，处事理智、果断，良好的积极性、主动性和独立性，具有较好的组织管理能力和沟通表达能力。
5. 具有与客户、公司及合作伙伴保持良好关系的意愿与能力。
6. 良好的品德和道德观念，对公司的相关信息具有严格保密意识。
7. 适应出差。
岗位职责：
1. 负责客户数据中心、网络项目规划协调工作。
2. 负责网络设备的安装、配置、管理。完善网络系统的相关文档。
3. 负责集成实施项目的支撑、交付工作。
加分项：
有运营商行业工作经验的优先考虑
有华为、华三、锐捷等厂商数通方向认证证书优先考虑
拥有SDN数据中心项目经验者优先考虑
熟悉Linux等主流操作系统者优先考虑"
网络工程师,数据中心网络,10-15K,乌鲁木齐,新疆数字兵团信息产业发展有限责任公司,"网络运维,运维,安全运维,系统运维,网络交换技术,负载均衡技术,CCNP证书,网络工程师证",3-5年,社招,数据中心网络,2023/1/13,"任职要求
1、全日制大学本科学校毕业及以上学历，计算机或者相关专业；
2、3到5年以上，大型互联网企业或IT企业网络系统、大型数据中心、网络安全体系的架构规划、设计、实施、维护经验；
3、熟练掌握MPLS-VPN，BGP,OSPF，对运营商承载网和省级政务外网有运维经验者优先。要求对网络安全体系有深入理解，有网络安全时间的紧急处置经验和能力，熟悉各类网络安全产品体系；
4、具有丰富网络故障排除经验，具备突出的分析及解决问题能力，并善于主动总结和分享自己的工作经验；
5、对网络流量、网络拥塞、网络路由或路由选择协议、常见网络设备配置等方面，有丰富的理论与从业经验；
6、具有较强的整合利用网络资源能力，敏锐的网络环境洞察能力及良好的安全管理意识，有较强的网络环境与安全的制定与排查故障能力，熟悉病毒防护、路由器、交换机、防火墙配置管理，熟悉 Linux、Windows系统的系统安全管理及网络管理；
7、精通IP路由及交换机技术，熟悉各类网络产品（交换机、路由器、防火墙等）的配置和管理；
8、对网络协议分析有深入理解，并熟练掌握网络协议解析、网络流量控制与分析的方法；
9、精通IDC常用技术以及产品，如4-7层交换、负载均衡技术、内容发布网络、DNS技术、虚拟化技术；
10、具有互联网公司100台服务器以上的运维工作经验；
11、具备一定开发能力，能够编写自动化运维工具。
12、具有CCIE认证者优先。"
